Year,League_Position,Team,End_Position
2008,1,RR,1
2008,2,KXIP,3
2008,3,CSK,2
2008,4,DC,4
2009,1,DC,1
2009,2,CSK,3
2009,3,RCB,2
2009,4,DCG,4
2010,1,MI,2
2010,2,DCG,4
2010,3,CSK,1
2010,4,RCB,3
2011,1,RCB,2
2011,2,CSK,1
2011,3,MI,3
2011,4,KKR,4
2012,1,DC,3
2012,2,KKR,1
2012,3,MI,4
2012,4,CSK,2
2013,1,CSK,2
2013,2,MI,1
2013,3,RR,3
2013,4,SRH,4
2014,1,KXIP,2
2014,2,KKR,1
2014,3,CSK,3
2014,4,MI,4
2015,1,CSK,2
2015,2,MI,1
2015,3,RCB,4
2015,4,RR,3
2016,1,GL,3
2016,2,RCB,2
2016,3,SRH,1
2016,4,KKR,4
2017,1,MI,1
2017,2,RPS,2
2017,3,SRH,4
2017,4,KKR,3
2018,1,SRH,2
2018,2,CSK,1
2018,3,KKR,3
2018,4,RR,4
2019,1,MI,1
2019,2,CSK,2
2019,3,DC,3
2019,4,SRH,4
2020,1,MI,1
2020,2,DC,2
2020,3,SRH,3
2020,4,RCB,4
2021,1,DC,3
2021,2,CSK,1
2021,3,RCB,4
2021,4,KKR,2
